floss #	color	R	G	B
732	Olive Green	114	92	12
733	Medium Olive Green	167	138	68
734	Light Olive Green	187	156	84
738	Very Light Tan	226	183	131
739	Ultra Very Light Tan	242	222	185
740	Tangerine	253	111	26
741	Medium Tangerine	252	139	16
742	Light Tangerine	253	174	60
743	Medium Yellow	253	215	105
744	Pale Yellow	254	232	141
745	Light Pale Yellow	254	235	165
746	Off White	250	242	213
747	Very Light Sky Blue	206	233	234
754	Light Peach	247	201	176
758	Very Light Terra Cotta	233	159	131
760	Salmon	236	136	128
761	Light Salmon	248	180	173
762	Very Light Pearl Gray	209	208	210
772	Very Light Yellow Green	215	239	167
775	Very Light Baby Blue	212	227	239
777	Deep Red	155	0	66
778	Very Light Antique Mauve	220	166	164
779	Brown	83	51	45
780	Ultra Very Dark Topaz	148	80	38
782	Dark Topaz	178	105	35
783	Medium Topaz	208	136	61
791	Very Dark Cornflower Blue	45	32	104
792	Dark Cornflower Blue	69	75	139
793	Medium Cornflower Blue	124	130	181
794	Light Cornflower Blue	160	178	215
796	Dark Royal Blue	39	34	118
797	Royal Blue	43	50	136
798	Dark Delft Blue	78	92	167
799	Medium Delft Blue	107	127	192
800	Pale Delft Blue	181	199	233
801	Dark Coffee Brown	96	57	29
803	Deep Blue	32	39	84
807	Peacock Blue	85	139	158
809	Delft Blue	145	159	213
813	Light Blue	127	160	198
814	Dark Garnet	113	16	51
815	Medium Garnet	128	11	52
816	Garnet	146	18	56
817	Very Dark Coral Red	187	22	48
818	Baby Pink	254	222	221
819	Light Baby Pink	252	235	222
820	Very Dark Royal Blue	21	18	100
822	Light Beige Gray	232	223	199
823	Dark Blue	0	11	68
824	Very Dark Blue	40	71	121
825	Dark Blue	52	88	143
826	Medium Blue	80	117	167
827	Very Light Blue	164	193	222
828	Ultra Very Light Blue	195	215	230
829	Very Dark Golden Olive	100	72	12
830	Dark Golden Olive	110	80	29
831	Medium Golden Olive	124	95	32
832	Golden Olive	156	114	48
833	Light Golden Olive	185	153	86
834	Very Light Golden Olive	210	180	104
838	Very Dark Beige Brown	74	48	33
839	Dark Beige Brown	90	60	45
840	Medium Beige Brown	122	89	57
841	Light Beige Brown	163	125	100
842	Very Light Beige Brown	203	176	148
844	Ultra Dark Beaver Gray	73	72	66
869	Very Dark Hazelnut Brown	120	76	40
890	Ultra Dark Pistachio Green	50	66	51
891	Dark Carnation	238	50	70
892	Medium Carnation	244	71	83
893	Light Carnation	246	104	121
894	Very Light Carnation	253	149	163
895	Very Dark Hunter Green	52	75	46
898	Very Dark Coffee Brown	83	47	27
899	Medium Rose	234	107	120
900	Dark Burnt Orange	198	49	23
902	Very Dark Garnet	101	19	41
904	Very Dark Parrot Green	56	99	36
905	Dark Parrot Green	70	121	36
906	Medium Parrot Green	108	158	41
907	Light Parrot Green	157	199	45
909	Very Dark Emerald Green	16	107	67
910	Dark Emerald Green	16	129	78
911	Medium Emerald Green	16	146	86
912	Light Emerald Green	54	178	107
913	Medium Nile Green	85	202	125
915	Dark Plum	149	8	90
917	Medium Plum	172	16	113
918	Dark Red Copper	136	54	48
919	Red Copper	155	55	27
920	Medium Copper	171	72	54
921	Copper	192	87	61
922	Light Copper	221	110	76
924	Very Dark Gray Green	56	74	74
926	Medium Gray Green	97	118	116
927	Light Gray Green	159	168	165
928	Very Light Gray Green	192	198	192
930	Dark Antique Blue	73	92	107
931	Medium Antique Blue	102	118	132
932	Light Antique Blue	147	160	175
934	Black Avocado Green	50	51	36
935	Dark Avocado Green	56	58	42
936	Very Dark Avocado Green	63	66	39
937	Medium Avocado Green	67	79	44
938	Ultra Dark Coffee Brown	69	39	26
939	Very Dark Blue	9	9	47
943	Medium Aquamarine	0	154	119
945	Tawny	246	193	154
946	Medium Burnt Orange	237	65	21
947	Burnt Orange	252	79	22
948	Very Light Peach	253	230	211
950	Light Desert Sand	229	172	141
951	Light Tawny	250	221	182
954	Nile Green	111	218	138
955	Light Nile Green	168	235	173
956	Geranium	247	86	109
957	Pale Geranium	253	153	175
958	Dark Seagreen	13	178	148
959	Medium Seagreen	114	208	183
961	Dark Dusty Rose	222	88	108
962	Medium Dusty Rose	235	113	131
963	Ultra Very Light Dusty Rose	253	204	209
964	Light Seagreen	165	228	212
966	Medium Baby Green	148	210	138
967	Light Peach	255	194	172
970	Light Pumpkin	251	103	33
972	Deep Canary	251	159	17
973	Bright Canary	252	205	45
975	Dark Golden Brown	129	60	17
976	Medium Golden Brown	207	117	50
977	Light Golden Brown	236	143	67
986	Very Dark Forest Green	46	82	48
987	Dark Forest Green	67	104	56
988	Medium Forest Green	102	146	74
989	Forest Green	113	167	78
991	Dark Aquamarine	19	95	85
992	Light Aquamarine	66	181	158
993	Very Light Aquamarine	98	216	182
995	Dark Electric Blue	0	97	176
996	Medium Electric Blue	73	168	235
3011	Dark Khaki Green	101	89	53
3012	Medium Khaki Green	139	123	78
3013	Light Khaki Green	175	169	123
3021	Very Dark Brown Gray	80	64	59
3022	Medium Brown Gray	132	130	116
3023	Light Brown Gray	162	155	134
3024	Very Light Brown Gray	190	184	172
3031	Very Dark Mocha Brown	66	48	20
3032	Medium Mocha Brown	157	136	104
3033	Very Light Mocha Brown	219	199	173
3041	Medium Antique Violet	134	106	118
3042	Light Antique Violet	175	152	160
3045	Dark Yellow Beige	175	129	82
3046	Medium Yellow Beige	206	176	116
3047	Light Yellow Beige	234	216	171
3051	Dark Green Gray	76	76	30
3052	Medium Green Gray	120	126	92
3053	Green Gray	153	157	117
3064	Desert Sand	186	112	86
3072	Very Light Beaver Gray	210	210	202
3078	Very Light Golden Yellow	252	246	182
3325	Light Baby Blue	173	205	231
3326	Light Rose	249	151	156
3328	Dark Salmon	190	68	74
3340	Medium Apricot	253	107	79
3341	Apricot	253	142	120
3345	Dark Hunter Green	64	85	46
3346	Hunter Green	86	116	59
3347	Medium Yellow Green	109	150	70
3348	Light Yellow Green	190	223	116
3350	Ultra Dark Dusty Rose	170	57	73
3354	Light Dusty Rose	239	165	172
3362	Dark Pine Green	73	82	60
3363	Medium Pine Green	97	116	81
3364	Pine Green	142	155	109
3371	Black Brown	54	34	14
3607	Light Plum	217	76	157
3608	Very Light Plum	236	129	190
3609	Ultra Light Plum	246	176	223
3685	Very Dark Mauve	121	38	59
3687	Mauve	181	69	93
3688	Medium Mauve	220	124	134
3689	Light Mauve	248	187	200
3705	Dark Melon	242	73	79
3706	Medium Melon	253	110	112
3708	Light Melon	253	160	174
3712	Medium Salmon	217	93	93
3713	Very Light Salmon	253	213	208
3716	Very Light Dusty Rose	252	175	185
3721	Dark Shell Pink	147	59	61
3722	Medium Shell Pink	160	75	76
3726	Dark Antique Mauve	149	86	92
3727	Light Antique Mauve	218	158	166
3731	Very Dark Dusty Rose	195	76	92
3733	Dusty Rose	234	126	134
3740	Dark Antique Violet	113	83	93
3743	Very Light Antique Violet	207	194	201
3746	Dark Blue Violet	132	74	181
3747	Very Light Blue Violet	208	197	236
3750	Very Dark Antique Blue	29	69	82
3752	Very Light Antique Blue	186	201	204
3753	Ultra Very Light Antique Blue	217	230	236
3755	Baby Blue	129	165	216
3756	Light Baby Blue	233	244	250
